"","bikeshop.name","location","product.id","model","description","sales","order.id","sales_date","product_count"
"1","Pittsburgh Mountain Machines","Pittsburgh, PA",1,"Supersix Evo Black Inc.","Road - Elite Road - Carbon",12790,847,"2013-05-21",1
"2","Pittsburgh Mountain Machines","Pittsburgh, PA",1,"Supersix Evo Black Inc.","Road - Elite Road - Carbon",12790,1026,"2013-09-27",1
"3","Pittsburgh Mountain Machines","Pittsburgh, PA",1,"Supersix Evo Black Inc.","Road - Elite Road - Carbon",12790,1470,"2014-10-16",1
"4","Pittsburgh Mountain Machines","Pittsburgh, PA",2,"Supersix Evo Hi-Mod Team","Road - Elite Road - Carbon",10660,421,"2012-04-12",1
"5","Pittsburgh Mountain Machines","Pittsburgh, PA",2,"Supersix Evo Hi-Mod Team","Road - Elite Road - Carbon",10660,1049,"2013-10-15",1
"6","Pittsburgh Mountain Machines","Pittsburgh, PA",2,"Supersix Evo Hi-Mod Team","Road - Elite Road - Carbon",10660,1542,"2015-02-10",1
"7","Pittsburgh Mountain Machines","Pittsburgh, PA",3,"Supersix Evo Hi-Mod Dura Ace 1","Road - Elite Road - Carbon",7990,1345,"2014-07-09",1
"8","Pittsburgh Mountain Machines","Pittsburgh, PA",4,"Supersix Evo Hi-Mod Dura Ace 2","Road - Elite Road - Carbon",5330,72,"2011-04-01",1
"9","Pittsburgh Mountain Machines","Pittsburgh, PA",4,"Supersix Evo Hi-Mod Dura Ace 2","Road - Elite Road - Carbon",5330,990,"2013-08-30",1
"10","Pittsburgh Mountain Machines","Pittsburgh, PA",4,"Supersix Evo Hi-Mod Dura Ace 2","Road - Elite Road - Carbon",5330,1108,"2014-01-07",1
"11","Pittsburgh Mountain Machines","Pittsburgh, PA",4,"Supersix Evo Hi-Mod Dura Ace 2","Road - Elite Road - Carbon",5330,1470,"2014-10-16",1
"12","Pittsburgh Mountain Machines","Pittsburgh, PA",4,"Supersix Evo Hi-Mod Dura Ace 2","Road - Elite Road - Carbon",5330,1530,"2015-01-27",1
"13","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,686,"2013-01-24",1
"14","Pittsburgh Mountain Machines","Pittsburgh, PA",5,"Supersix Evo Hi-Mod Utegra","Road - Elite Road - Carbon",4260,817,"2013-05-07",1
